Geohash,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version
dpz90v7,43.79837,-79.41605,43.79974,-79.41467,43.79898,-79.41553,Markham,,Ontario,Canada,CA-ON,0.0438,4,2019-02-02,5.0
dpz93m5,43.84094,-79.39407,43.84232,-79.3927,43.84185,-79.39289,Markham,,Ontario,Canada,CA-ON,0.008,4,2019-02-02,5.0
dpz975z,43.83408,-79.31168,43.83545,-79.3103,43.83466,-79.31109,Markham,,Ontario,Canada,CA-ON,0.1641,7,2019-02-02,5.0
dpz93te,43.84369,-79.38309,43.84506,-79.38171,43.84435,-79.38232,Markham,,Ontario,Canada,CA-ON,0.0197,12,2019-02-02,5.0
dpz96d8,43.82721,-79.34326,43.82858,-79.34189,43.82805,-79.34252,Markham,,Ontario,Canada,CA-ON,0.0203,3,2019-02-02,5.0
dpz94pe,43.81073,-79.36111,43.8121,-79.35974,43.81136,-79.36055,Markham,,Ontario,Canada,CA-ON,0.0173,3,2019-02-02,5.0
dpz91wu,43.80661,-79.38171,43.80798,-79.38034,43.80672,-79.38092,Markham,,Ontario,Canada,CA-ON,0.033,10,2019-02-02,5.0
dpz96df,43.82858,-79.34052,43.82996,-79.33914,43.82919,-79.33956,Markham,,Ontario,Canada,CA-ON,0.0079,3,2019-02-02,5.0
dpz9330,43.81897,-79.39819,43.82034,-79.39682,43.81921,-79.39775,Markham,,Ontario,Canada,CA-ON,0.0366,9,2019-02-02,5.0
dpz93mj,43.84094,-79.39133,43.84232,-79.38995,43.84221,-79.39115,Markham,,Ontario,Canada,CA-ON,0.0823,15,2019-02-02,5.0
dpz976j,43.82446,-79.30344,43.82584,-79.30206,43.82483,-79.30233,Markham,,Ontario,Canada,CA-ON,0.4642,53,2019-02-02,5.0
dpz97gn,43.82996,-79.28009,43.83133,-79.27872,43.83017,-79.27918,Markham,,Ontario,Canada,CA-ON,0.0594,7,2019-02-02,5.0
