"","year","month","Geohash","Count.Date","X8.Peak.Hr.Vehicle.Volume","X8.Peak.Hr.Pedestrian.Volume","sum_acc_count","AvgAcceleration","AvgMonthlyVolume","PercentOfVehicles","PercentCar","PercentMPV","PercentLDT","PercentMDT","PercentOther","SeverityScore","IncidentsTotal","temp_chg","snow","rain","lat","lng","lat_error","lng_error"
"1",2007,"01","dpz2u8v",2014-11-24,7139,532,3,NA,NA,NA,NA,NA,NA,NA,NA,0.021,3,11.9,10,11.5,43.7303924560547,-79.5993804931641,0.0006866455078125,0.0006866455078125
"2",2007,"01","dpz8284",2016-06-11,13926,5310,3,NA,NA,NA,NA,NA,NA,NA,NA,0.0139,3,11.9,10,11.5,43.6383819580078,-79.4277191162109,0.0006866455078125,0.0006866455078125
"3",2007,"01","dpz2rx4",2015-04-22,16442,270,3,0.3125,5375,0.0052,0.0385,0.1452,0.2287,0.0641,0.3641,NA,NA,11.9,10,11.5,43.6768341064453,-79.4716644287109,0.0006866455078125,0.0006866455078125
"4",2007,"01","dpz9jr0",2018-01-27,13328,1424,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,10,11.5,43.8086700439453,-79.2217254638672,0.0006866455078125,0.0006866455078125
"5",2007,"01","dpz82md",2016-06-11,21475,2644,3,NA,NA,NA,NA,NA,NA,NA,NA,0.012,4,11.9,10,11.5,43.6685943603516,-79.4387054443359,0.0006866455078125,0.0006866455078125
"6",2007,"01","dpz8c7y",2016-03-09,12287,363,3,0.4462,69,0.029,0.029,0.3188,0.2319,0.029,0.3333,NA,NA,11.9,10,11.5,43.7468719482422,-79.3892669677734,0.0006866455078125,0.0006866455078125
"7",2007,"01","dpz2mz8",2014-12-03,10353,270,3,0.3673,3848,0.0231,0.0337,0.2305,0.2882,0.0608,0.2701,NA,NA,11.9,10,11.5,43.6795806884766,-79.5513153076172,0.0006866455078125,0.0006866455078125
"8",2007,"01","dpz8d6g",2017-04-22,19015,141,3,0.4426,1182,0.0423,0.0247,0.2111,0.166,0.0613,0.456,NA,NA,11.9,10,11.5,43.6974334716797,-79.3494415283203,0.0006866455078125,0.0006866455078125
"9",2007,"01","dpz2ttv",2014-05-28,20171,91,3,0.3349,16648,0.0501,0.0193,0.1152,0.1925,0.0549,0.3569,NA,NA,11.9,10,11.5,43.7139129638672,-79.5554351806641,0.0006866455078125,0.0006866455078125
"10",2007,"01","dpz88dm",2015-04-01,15207,339,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,10,11.5,43.6946868896484,-79.4235992431641,0.0006866455078125,0.0006866455078125
"11",2007,"01","dpz8u3w",2012-03-28,30334,2723,5,0.3814,83,0.07195,0.0277,0.2238,0.3303,0.0814,0.2277,0.0819,30,11.9,10,11.5,43.7345123291016,-79.2574310302734,0.0006866455078125,0.0006866455078125
"12",2007,"01","dpz94y3",2018-02-03,17399,193,2,0.5116,48,0.1667,0,0.5625,0.3333,0.0208,0.0417,NA,NA,11.9,10,11.5,43.8045501708984,-79.3302154541016,0.0006866455078125,0.0006866455078125
"13",2007,"01","dpz2tfg",2014-04-29,31673,1581,3,0.3654,9991,0.0557,0.0134,0.156,0.2051,0.0377,0.4843,NA,NA,11.9,10,11.5,43.6974334716797,-79.5471954345703,0.0006866455078125,0.0006866455078125
"14",2007,"01","dpz2vuy",2013-02-21,33275,3092,2,NA,NA,NA,NA,NA,NA,NA,NA,0.0449,23,11.9,10,11.5,43.7523651123047,-79.5430755615234,0.0006866455078125,0.0006866455078125
"15",2007,"01","dpz2t1t",2016-11-29,21314,484,2,NA,NA,NA,NA,NA,NA,NA,NA,0.0298,8,11.9,10,11.5,43.6905670166016,-79.5774078369141,0.0006866455078125,0.0006866455078125
"16",2007,"01","dpz2rcm",2011-11-09,14077,911,2,0.1507,44,0.0682,0.0682,0.2273,0.2727,0.0227,0.25,0.0204,4,11.9,10,11.5,43.6452484130859,-79.4565582275391,0.0006866455078125,0.0006866455078125
"17",2007,"01","dpz8vxh",2010-12-16,15279,654,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,10,11.5,43.7647247314453,-79.2052459716797,0.0006866455078125,0.0006866455078125
"18",2007,"01","dpz86eh",2012-10-15,31363,624,3,0.5684,5446,0.1473,0.0203,0.1515,0.2895,0.1067,0.2497,NA,NA,11.9,10,11.5,43.6548614501953,-79.3370819091797,0.0006866455078125,0.0006866455078125
"19",2007,"02","dpz80zx",2018-01-24,11246,265,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,20,5.6,43.6356353759766,-79.4098663330078,0.0006866455078125,0.0006866455078125
"20",2007,"02","dpz9jm5",2018-01-27,20370,573,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,20,5.6,43.7976837158203,-79.2176055908203,0.0006866455078125,0.0006866455078125
"21",2007,"02","dpz94tp",2010-11-16,12138,573,3,0.4502,33,0.1818,0.0303,0.3939,0.1818,0.0303,0.3031,NA,NA,16,20,5.6,43.7976837158203,-79.3329620361328,0.0006866455078125,0.0006866455078125
"22",2007,"02","dpz827n",2016-04-28,10922,378,2,0.2815,358,0.0419,0.0084,0.1592,0.1648,0.0615,0.4497,NA,NA,16,20,5.6,43.6548614501953,-79.4332122802734,0.0006866455078125,0.0006866455078125
"23",2007,"02","dpz2zxq",2016-11-30,42055,187,7,NA,NA,NA,NA,NA,NA,NA,NA,0.0819,31,16,20,5.6,43.7660980224609,-79.4661712646484,0.0006866455078125,0.0006866455078125
"24",2007,"02","dpz2v8p",2016-05-25,13737,252,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,20,5.6,43.7262725830078,-79.5526885986328,0.0006866455078125,0.0006866455078125
"25",2007,"02","dpz2s8v",2016-12-05,16895,102,2,0.18775,1692.5,0.04775,0.0112,0.1908,0.1604,0.0583,0.3658,NA,NA,16,20,5.6,43.6864471435547,-79.5993804931641,0.0006866455078125,0.0006866455078125
"26",2007,"02","dpz2jwm",2017-04-12,20729,132,3,1.7913,43,0.0233,0.0233,0,0.3488,0.0698,0.2558,NA,NA,16,20,5.6,43.6287689208984,-79.5554351806641,0.0006866455078125,0.0006866455078125
"27",2007,"02","dpz2xg0",2012-10-22,17695,330,6,0.7767,6138,0.0427,0.0162,0.2178,0.3277,0.0557,0.249,NA,NA,16,20,5.6,43.6988067626953,-79.4634246826172,0.0006866455078125,0.0006866455078125
"28",2007,"02","dpz9h4x",2016-12-15,14591,301,2,0.7124,1883,0.0037,0.0594,0.2681,0.3622,0.0391,0.184,NA,NA,16,20,5.6,43.7839508056641,-79.2670440673828,0.0006866455078125,0.0006866455078125
"29",2007,"02","dpz2x34",2013-03-27,27273,352,2,0.4065,7343,0.0157,0.0248,0.1339,0.3637,0.0584,0.2374,NA,NA,16,20,5.6,43.6878204345703,-79.4826507568359,0.0006866455078125,0.0006866455078125
"30",2007,"02","dpz82dw",2010-01-12,6627,830,5,0.6086,212,0.1934,0.0383,0.1818,0.2392,0.0191,0.4403,NA,NA,16,20,5.6,43.6521148681641,-79.4222259521484,0.0006866455078125,0.0006866455078125
"31",2007,"02","dpz8evt",2017-04-22,27581,741,2,0.33045,5716.5,0.0257,0.0371,0.2031,0.28415,0.09535,0.23045,0.0055,3,16,20,5.6,43.7125396728516,-79.2807769775391,0.0006866455078125,0.0006866455078125
"32",2007,"02","dpz2rn4",2018-01-25,13768,1464,3,0.4791,676,0.0533,0.012,0.1542,0.235,0.1287,0.3803,NA,NA,16,20,5.6,43.6713409423828,-79.4936370849609,0.0006866455078125,0.0006866455078125
"33",2007,"02","dpz8e0w",2018-01-17,19125,5227,2,0.7223,5537,0.106,0.0212,0.1863,0.2347,0.0935,0.3341,NA,NA,16,20,5.6,43.6850738525391,-79.3123626708984,0.0006866455078125,0.0006866455078125
"34",2007,"02","dpz80zn",2010-12-14,22009,120,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,20,5.6,43.6328887939453,-79.4112396240234,0.0006866455078125,0.0006866455078125
"35",2007,"02","dpz2juh",2013-09-04,28554,222,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,20,5.6,43.6164093017578,-79.5458221435547,0.0006866455078125,0.0006866455078125
"36",2007,"03","dpz864b",2009-08-18,8428,560,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,16,15.2,43.6534881591797,-79.3645477294922,0.0006866455078125,0.0006866455078125
"37",2007,"03","dpz8d64",2017-04-22,20064,846,3,0.1002,519,0.0116,0.0426,0.2456,0.2708,0.0484,0.3036,NA,NA,15.2,16,15.2,43.6933135986328,-79.3508148193359,0.0006866455078125,0.0006866455078125
"38",2007,"03","dpz884z",2012-10-29,17171,3006,2,0.369033333333333,1894.33333333333,0.107266666666667,0.0516333333333333,0.2634,0.309833333333333,0.0323,0.238833333333333,0.0368,29,15.2,16,15.2,43.6974334716797,-79.4428253173828,0.0006866455078125,0.0006866455078125
"39",2007,"03","dpz88nj",2013-06-20,25170,6481,3,NA,NA,NA,NA,NA,NA,NA,NA,0.0159,6,15.2,16,15.2,43.7152862548828,-79.4455718994141,0.0006866455078125,0.0006866455078125
"40",2007,"03","dpz2ufu",2016-05-24,26513,2920,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,16,15.2,43.7413787841797,-79.5897674560547,0.0006866455078125,0.0006866455078125
"41",2007,"03","dpz2ukm",2013-08-08,16730,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,16,15.2,43.7496185302734,-79.6103668212891,0.0006866455078125,0.0006866455078125
"42",2007,"03","dpz3p6g",2014-11-15,17170,159,4,0.4928,38,0.2105,0.0263,0.3158,0.0526,0.0526,0.3159,NA,NA,15.2,16,15.2,43.7853240966797,-79.4812774658203,0.0006866455078125,0.0006866455078125
"43",2007,"03","dpz947b",2017-10-03,19656,1287,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,16,15.2,43.7908172607422,-79.3535614013672,0.0006866455078125,0.0006866455078125
"44",2007,"03","dpz9467",2012-12-03,7659,670,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,16,15.2,43.7825775146484,-79.3494415283203,0.0006866455078125,0.0006866455078125
"45",2007,"03","dpz2v9c",2016-05-25,14391,462,3,0.4001,607,0.0313,0.0597,0.2338,0.3217,0.0896,0.1824,NA,NA,15.2,16,15.2,43.7358856201172,-79.5609283447266,0.0006866455078125,0.0006866455078125
"46",2007,"03","dpz83qj",2016-10-18,11870,8385,4,0.3022,2910.5,0.1189,0.02605,0.208,0.13155,0.05515,0.4854,NA,NA,15.2,16,15.2,43.6713409423828,-79.3906402587891,0.0006866455078125,0.0006866455078125
"47",2007,"03","dpz83f2",2016-11-08,13816,9692,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,16,15.2,43.6507415771484,-79.3755340576172,0.0006866455078125,0.0006866455078125
"48",2007,"03","dpz839b",2017-05-17,8437,25628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,16,15.2,43.6479949951172,-79.3865203857422,0.0006866455078125,0.0006866455078125
"49",2007,"03","dpz2uwp",2015-05-15,18164,101,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,16,15.2,43.7592315673828,-79.5966339111328,0.0006866455078125,0.0006866455078125
"50",2007,"03","dpz2np8",2017-06-19,24546,1332,2,0.322533333333333,6143.33333333333,0.0538,0.0419,0.203166666666667,0.211666666666667,0.0694,0.256166666666667,NA,NA,15.2,16,15.2,43.6356353759766,-79.5403289794922,0.0006866455078125,0.0006866455078125
"51",2007,"03","dpz8677",2016-04-27,13578,226,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,16,15.2,43.6562347412109,-79.3494415283203,0.0006866455078125,0.0006866455078125
"52",2007,"03","dpz83rv",2014-04-14,15189,1027,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,16,15.2,43.6809539794922,-79.3906402587891,0.0006866455078125,0.0006866455078125
"53",2007,"03","dpz83g9",2017-06-27,17835,5858,2,0.3903,412,0.0777,0.0121,0.1869,0.1723,0.0388,0.5025,NA,NA,15.2,16,15.2,43.6576080322266,-79.3741607666016,0.0006866455078125,0.0006866455078125
"54",2007,"04","dpz9539",2014-03-29,27706,2612,7,0.55395,3667.5,0.20255,0.08765,0.25865,0.2883,0.0361,0.19495,0.0112,3,13.2,0,9,43.7784576416016,-79.3082427978516,0.0006866455078125,0.0006866455078125
"55",2007,"04","dpz87pz",2017-06-27,16958,1499,3,NA,NA,NA,NA,NA,NA,NA,NA,0.0122,5,13.2,0,9,43.6809539794922,-79.3109893798828,0.0006866455078125,0.0006866455078125
"56",2007,"04","dpz2rtp",2016-05-07,19464,4643,5,0.7398,8774,0.1395,0.03405,0.16235,0.2369,0.07575,0.3803,0.039,31,13.2,0,9,43.6658477783203,-79.4647979736328,0.0006866455078125,0.0006866455078125
"57",2007,"04","dpz8cxz",2014-03-01,18538,367,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,0,9,43.7688446044922,-79.3769073486328,0.0006866455078125,0.0006866455078125
"58",2007,"04","dpz83jm",2018-01-11,10170,7851,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,0,9,43.6672210693359,-79.4016265869141,0.0006866455078125,0.0006866455078125
"59",2007,"04","dpz839d",2015-04-20,18390,18152,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,0,9,43.6466217041016,-79.3837738037109,0.0006866455078125,0.0006866455078125
"60",2007,"04","dpz94hp",2011-02-10,32467,2482,2,0.4572,2762.5,0.05625,0.0437,0.24945,0.26135,0.049,0.27155,0.0298,3,13.2,0,9,43.7921905517578,-79.3549346923828,0.0006866455078125,0.0006866455078125
"61",2007,"04","dpz2tkp",2015-05-19,20664,235,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,0,9,43.7042999267578,-79.5636749267578,0.0006866455078125,0.0006866455078125
"62",2007,"04","dpz97dt",2010-12-16,18519,292,2,0.41755,360,0.1262,0.03385,0.26165,0.32585,0.05455,0.1974,0.0127,3,13.2,0,9,43.8278961181641,-79.2917633056641,0.0006866455078125,0.0006866455078125
"63",2007,"04","dpz8udj",2012-03-29,27971,2174,4,0.33975,110,0.15555,0.0029,0.22345,0.2922,0.08615,0.2052,NA,NA,13.2,0,9,43.7372589111328,-79.2478179931641,0.0006866455078125,0.0006866455078125
"64",2007,"04","dpz8gjs",2016-11-24,20133,566,5,0.417,42,0.1429,0,0.5476,0.1667,0.0476,0.2381,0.0123,4,13.2,0,9,43.7564849853516,-79.3151092529297,0.0006866455078125,0.0006866455078125
"65",2007,"05","dpz8c5c",2010-04-12,27056,710,2,0.743,2683,0.03595,0.0398,0.2444,0.25955,0.0513,0.28705,0.0153,8,16.8,0,28,43.7468719482422,-79.4071197509766,0.0006866455078125,0.0006866455078125
"66",2007,"05","dpz90v0",2013-10-08,42005,6483,4,NA,NA,NA,NA,NA,NA,NA,NA,0.0525,18,16.8,0,28,43.7976837158203,-79.4194793701172,0.0006866455078125,0.0006866455078125
"67",2007,"05","dpz94hp",2011-02-10,32467,2482,2,0.4572,2762.5,0.05625,0.0437,0.24945,0.26135,0.049,0.27155,0.0298,3,16.8,0,28,43.7921905517578,-79.3549346923828,0.0006866455078125,0.0006866455078125
"68",2007,"05","dpz825z",2010-05-18,17274,3872,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,0,28,43.6589813232422,-79.4428253173828,0.0006866455078125,0.0006866455078125
"69",2007,"05","dpz2ue6",2016-05-24,14691,238,4,NA,NA,NA,NA,NA,NA,NA,NA,0.0408,15,16.8,0,28,43.7441253662109,-79.6035003662109,0.0006866455078125,0.0006866455078125
"70",2007,"05","dpz2ufu",2016-05-24,26513,2920,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,0,28,43.7413787841797,-79.5897674560547,0.0006866455078125,0.0006866455078125
"71",2007,"05","dpz2td7",2014-12-13,21477,1693,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,0,28,43.6946868896484,-79.5581817626953,0.0006866455078125,0.0006866455078125
"72",2007,"05","dpz9n7g",2016-02-10,6129,268,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,0,28,43.7908172607422,-79.1736602783203,0.0006866455078125,0.0006866455078125
"73",2007,"05","dpz88qw",2011-08-15,17809,886,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,0,28,43.7180328369141,-79.4332122802734,0.0006866455078125,0.0006866455078125
"74",2007,"05","dpz2rm9",2018-01-25,17252,1781,4,NA,NA,NA,NA,NA,NA,NA,NA,0.0223,15,16.8,0,28,43.6685943603516,-79.4840240478516,0.0006866455078125,0.0006866455078125
"75",2007,"05","dpz86s6",2013-04-22,12361,3128,3,0.2777,2011,0.04055,0.01675,0.1469,0.16025,0.0816,0.3193,NA,NA,16.8,0,28,43.6617279052734,-79.3398284912109,0.0006866455078125,0.0006866455078125
"76",2007,"05","dpz83gb",2010-06-17,14566,293,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,0,28,43.6589813232422,-79.3755340576172,0.0006866455078125,0.0006866455078125
"77",2007,"05","dpz2ug2",2016-02-29,10582,650,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,0,28,43.7441253662109,-79.5952606201172,0.0006866455078125,0.0006866455078125
"78",2007,"05","dpz97d3",2015-05-23,21533,1735,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,0,28,43.8265228271484,-79.2972564697266,0.0006866455078125,0.0006866455078125
"79",2007,"06","dpz8db5",2015-05-07,11318,1972,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,0,10.3,43.6823272705078,-79.3274688720703,0.0006866455078125,0.0006866455078125
"80",2007,"06","dpz9jhu",2014-04-02,11802,808,6,0.4049,21,0.0952,0,0.1905,0.4286,0,0.238,NA,NA,16.5,0,10.3,43.7963104248047,-79.2272186279297,0.0006866455078125,0.0006866455078125
"81",2007,"06","dpz2jxu",2012-09-18,29287,742,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,0,10.3,43.6370086669922,-79.5568084716797,0.0006866455078125,0.0006866455078125
"82",2007,"06","dpz82g5",2017-01-14,7478,4262,3,0.4587,2744,0.1022,0.0184,0.2195,0.1518,0.0392,0.51245,NA,NA,16.5,0,10.3,43.6548614501953,-79.4153594970703,0.0006866455078125,0.0006866455078125
"83",2007,"06","dpz9539",2014-03-29,27706,2612,6,0.55395,3667.5,0.20255,0.08765,0.25865,0.2883,0.0361,0.19495,0.0112,3,16.5,0,10.3,43.7784576416016,-79.3082427978516,0.0006866455078125,0.0006866455078125
"84",2007,"06","dpz83t8",2010-08-11,12471,12829,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,0,10.3,43.6685943603516,-79.3865203857422,0.0006866455078125,0.0006866455078125
"85",2007,"06","dpz2mz8",2014-12-03,10353,270,3,0.3673,3848,0.0231,0.0337,0.2305,0.2882,0.0608,0.2701,NA,NA,16.5,0,10.3,43.6795806884766,-79.5513153076172,0.0006866455078125,0.0006866455078125
