Geohash,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Latitude,Longitude,City,County,State,Country,ISO_3166_2,AvgAcceleration,PercentOfVehicles,AvgMonthlyVolume,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther,UpdateDate,Version
dpz838jk,43.63838,-79.38,43.63855,-79.37965,43.63846,-79.37987,,,,Canada,CA,0.4529,0.2647,34,0.0,0.2353,0.3529,0.1471,0.0882,0.1765,2019-01-04,2.0
dpz2pmqc,43.62276,-79.47681,43.62293,-79.47647,43.6228,-79.4767,,,,Canada,CA,0.442,0.2963,27,0.0,0.3704,0.4074,0.0741,0.037,0.1111,2019-01-04,2.0
dpz86bes,43.64113,-79.32747,43.6413,-79.32713,43.64123,-79.32727,,,,Canada,CA,0.7625,0.0417,48,0.0,0.0625,0.4792,0.0,0.0417,0.4166,2019-01-04,2.0
dpz8tjej,43.71271,-79.22928,43.71288,-79.22894,43.71285,-79.22912,,,,Canada,CA,0.1995,0.0435,23,0.0435,0.1739,0.087,0.1304,0.3043,0.2609,2019-01-04,2.0
dpz861ey,43.64697,-79.36008,43.64714,-79.35974,43.64704,-79.3599,,,,Canada,CA,0.4835,0.0642,109,0.0278,0.1574,0.0741,0.0463,0.1389,0.5555,2019-01-04,2.0
dpz860zr,43.64302,-79.35528,43.64319,-79.35493,43.64315,-79.35523,,,,Canada,CA,0.2032,0.0233,86,0.0,0.0235,0.0353,0.0353,0.4588,0.4471,2019-01-04,2.0
dpz81nz1,43.631,-79.39957,43.63117,-79.39922,43.63106,-79.39933,,,,Canada,CA,0.2989,0.0758,66,0.0,0.0455,0.2121,0.0909,0.6212,0.0303,2019-01-04,2.0
dpz861ex,43.64714,-79.36043,43.64731,-79.36008,43.64721,-79.36031,,,,Canada,CA,0.5982,0.0714,140,0.0072,0.3623,0.058,0.0652,0.1377,0.3696,2019-01-04,2.0
dpz2pmqb,43.62259,-79.47681,43.62276,-79.47647,43.62269,-79.47664,,,,Canada,CA,0.5802,0.32,25,0.0,0.44,0.36,0.08,0.0,0.12,2019-01-04,2.0
dpz80r4u,43.63289,-79.43836,43.63306,-79.43802,43.63301,-79.43831,,,,Canada,CA,0.3203,0.0588,34,0.0,0.1818,0.2424,0.1212,0.0303,0.4243,2019-01-04,2.0
dpz91xwe,43.81124,-79.37828,43.81142,-79.37794,43.81132,-79.37803,Markham,,Ontario,Canada,CA-ON,0.439,0.1026,78,0.0256,0.1923,0.1667,0.0256,0.4872,0.1026,2019-01-04,2.0
dpz97kt4,43.83854,-79.30344,43.83871,-79.30309,43.83868,-79.30334,Markham,,Ontario,Canada,CA-ON,0.6245,0.2171,175,0.046,0.1897,0.2759,0.0287,0.1092,0.3505,2019-01-04,2.0
dpz97ks4,43.83854,-79.30481,43.83871,-79.30447,43.83868,-79.30466,Markham,,Ontario,Canada,CA-ON,0.3807,0.2406,187,0.016,0.3476,0.0909,0.0535,0.1658,0.3262,2019-01-04,2.0
dpz93u96,43.83854,-79.3745,43.83871,-79.37416,43.8387,-79.37443,Markham,,Ontario,Canada,CA-ON,0.3525,0.0054,2207,0.0318,0.1164,0.4236,0.0759,0.1968,0.1555,2019-01-04,2.0
dpz93h86,43.83854,-79.40884,43.83871,-79.40849,43.83864,-79.40868,Markham,,Ontario,Canada,CA-ON,0.3313,0.0007,53115,0.0307,0.1146,0.3484,0.056,0.2766,0.1737,2019-01-04,2.0
dpz93h94,43.83854,-79.40781,43.83871,-79.40746,43.83859,-79.40761,Markham,,Ontario,Canada,CA-ON,0.2972,0.0036,21944,0.0177,0.0957,0.2772,0.0669,0.3466,0.1959,2019-01-04,2.0
dpz967yt,43.83493,-79.34532,43.83511,-79.34498,43.83499,-79.34528,Markham,,Ontario,Canada,CA-ON,0.4198,0.2857,35,0.0286,0.6,0.0571,0.0,0.2571,0.0572,2019-01-04,2.0
dpz965gm,43.83493,-79.36077,43.83511,-79.36043,43.83505,-79.36058,Markham,,Ontario,Canada,CA-ON,0.4578,0.2121,99,0.0,0.7475,0.0707,0.0,0.101,0.0808,2019-01-04,2.0
dpz90vx6,43.80009,-79.41021,43.80026,-79.40987,43.80021,-79.41007,Markham,,Ontario,Canada,CA-ON,0.4966,0.005,5841,0.0358,0.2257,0.2366,0.0977,0.1275,0.2767,2019-01-04,2.0
dpz97dt9,43.82738,-79.29176,43.82755,-79.29142,43.8274,-79.29152,Markham,,Ontario,Canada,CA-ON,0.4089,0.0709,395,0.0457,0.2183,0.2335,0.0431,0.2157,0.2437,2019-01-04,2.0
dpz976dc,43.82738,-79.30653,43.82755,-79.30618,43.82745,-79.30633,Markham,,Ontario,Canada,CA-ON,0.4553,0.1864,59,0.0678,0.2034,0.4237,0.0169,0.0847,0.2035,2019-01-04,2.0
dpz97dw9,43.82738,-79.29039,43.82755,-79.29005,43.82752,-79.29029,Markham,,Ontario,Canada,CA-ON,0.5826,0.0113,2485,0.0609,0.2069,0.2202,0.0472,0.2347,0.2301,2019-01-04,2.0
dpz973bk,43.82378,-79.30996,43.82395,-79.30962,43.8238,-79.30986,Markham,,Ontario,Canada,CA-ON,0.1689,0.0429,70,0.0143,0.2429,0.2286,0.0143,0.3571,0.1428,2019-01-04,2.0
dpz963vs,43.82378,-79.34669,43.82395,-79.34635,43.82386,-79.34664,Markham,,Ontario,Canada,CA-ON,0.3237,0.1081,111,0.0,0.3243,0.1982,0.1171,0.2252,0.1352,2019-01-04,2.0
dpz963yh,43.82378,-79.34601,43.82395,-79.34566,43.82387,-79.34592,Markham,,Ontario,Canada,CA-ON,0.3976,0.2222,18,0.0,0.2222,0.3889,0.0556,0.1667,0.1666,2019-01-04,2.0
dpz933zh,43.82378,-79.38858,43.82395,-79.38824,43.82392,-79.38839,Markham,,Ontario,Canada,CA-ON,0.4365,0.0411,73,0.0137,0.2466,0.1644,0.0411,0.3425,0.1917,2019-01-04,2.0
dpz968e0,43.81622,-79.33914,43.81639,-79.3388,43.81629,-79.33899,Markham,,Ontario,Canada,CA-ON,0.3791,0.0153,7645,0.0333,0.2037,0.2633,0.0565,0.1854,0.2578,2019-01-04,2.0
dpz93btb,43.81622,-79.36832,43.81639,-79.36798,43.81629,-79.36809,Markham,,Ontario,Canada,CA-ON,0.6034,0.0546,293,0.0345,0.2345,0.2483,0.0414,0.2379,0.2034,2019-01-04,2.0
dpz962t0,43.81622,-79.34738,43.81639,-79.34704,43.81627,-79.34716,Markham,,Ontario,Canada,CA-ON,0.4734,0.3725,102,0.0196,0.7549,0.0882,0.0196,0.0686,0.0491,2019-01-04,2.0
dpz92bdb,43.81622,-79.41639,43.81639,-79.41605,43.81628,-79.41617,Markham,,Ontario,Canada,CA-ON,0.7062,0.2157,51,0.0,0.102,0.102,0.0408,0.5102,0.245,2019-01-04,2.0
dpz96ynn,43.84747,-79.32404,43.84764,-79.32369,43.84755,-79.32383,Markham,,Ontario,Canada,CA-ON,0.5208,0.0438,1461,0.0439,0.3747,0.2601,0.0343,0.0995,0.1875,2019-01-04,2.0
dpz9kn5q,43.84747,-79.27288,43.84764,-79.27254,43.84759,-79.27275,Markham,,Ontario,Canada,CA-ON,0.5209,0.0128,626,0.0114,0.388,0.2614,0.0357,0.1477,0.1558,2019-01-04,2.0
dpz97ypn,43.84747,-79.27872,43.84764,-79.27837,43.84753,-79.27852,Markham,,Ontario,Canada,CA-ON,0.5533,0.0267,150,0.0,0.5333,0.1267,0.02,0.2667,0.0533,2019-01-04,2.0
dpz93ynn,43.84747,-79.36798,43.84764,-79.36764,43.84758,-79.36784,Markham,,Ontario,Canada,CA-ON,0.2955,0.0515,7726,0.0414,0.151,0.245,0.0785,0.2767,0.2074,2019-01-04,2.0
dpz94pb7,43.81262,-79.36489,43.81279,-79.36455,43.81267,-79.36469,Markham,,Ontario,Canada,CA-ON,0.1942,0.027,74,0.0,0.1781,0.3562,0.0,0.3151,0.1506,2019-01-04,2.0
dpz94pye,43.81262,-79.35631,43.81279,-79.35596,43.81273,-79.35618,Markham,,Ontario,Canada,CA-ON,0.6544,0.3333,15,0.0,0.3333,0.4667,0.0,0.1333,0.0667,2019-01-04,2.0
dpz94pfg,43.81262,-79.36146,43.81279,-79.36111,43.8127,-79.36137,Markham,,Ontario,Canada,CA-ON,0.5697,0.0135,3040,0.0423,0.1924,0.3263,0.0648,0.118,0.2562,2019-01-04,2.0
dpz96ug6,43.83991,-79.32781,43.84008,-79.32747,43.84003,-79.32757,Markham,,Ontario,Canada,CA-ON,0.223,0.0407,123,0.0,0.4959,0.1057,0.0569,0.1382,0.2033,2019-01-04,2.0
dpz93sc6,43.83991,-79.38549,43.84008,-79.38515,43.83995,-79.38536,Markham,,Ontario,Canada,CA-ON,0.2649,0.0204,392,0.0077,0.3795,0.2308,0.0282,0.1641,0.1897,2019-01-04,2.0
dpz93ucf,43.83991,-79.37382,43.84008,-79.37347,43.84,-79.37365,Markham,,Ontario,Canada,CA-ON,0.335,0.3125,272,0.1985,0.6324,0.0956,0.0331,0.0147,0.0257,2019-01-04,2.0
dpz93kfd,43.83991,-79.39476,43.84008,-79.39442,43.83996,-79.39465,Markham,,Ontario,Canada,CA-ON,0.5305,0.3252,206,0.0874,0.233,0.3107,0.034,0.2184,0.1165,2019-01-04,2.0
dpz9khgf,43.83991,-79.27219,43.84008,-79.27185,43.84003,-79.27203,Markham,,Ontario,Canada,CA-ON,0.3671,0.1579,76,0.0,0.2133,0.2,0.0667,0.4,0.12,2019-01-04,2.0
dpz96hu4,43.83991,-79.35974,43.84008,-79.3594,43.83994,-79.35954,Markham,,Ontario,Canada,CA-ON,0.4055,0.0524,3953,0.0076,0.1429,0.2851,0.03,0.3998,0.1346,2019-01-04,2.0
