Latitude,Longitude,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
43.7,-79.34,2007-05-25,2007,5,25,,30,,17,,23.5,,0,,5.5,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-05-26,2007,5,26,,20,,13,,16.5,,1.5,,0,,2.2,,0,,2.2,,0,,,,,
43.7,-79.34,2007-05-27,2007,5,27,,19,,10.5,,14.8,,3.2,,0,,6,,0,,6,,0,,,,,
43.7,-79.34,2007-05-28,2007,5,28,,22.5,,9,,15.8,,2.2,,0,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-05-29,2007,5,29,,23.5,,8,,15.8,,2.2,,0,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-05-30,2007,5,30,,29.5,,11,,20.3,,0,,2.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-05-31,2007,5,31,,29.5,,17.5,,23.5,,0,,5.5,,1.2,,0,,1.2,,0,,,,,
43.7,-79.34,2007-06-01,2007,6,1,,28,,18,,23,,0,,5,,0,T,0,,0,T,0,,,,,
43.7,-79.34,2007-06-02,2007,6,2,,31.5,,17,,24.3,,0,,6.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-03,2007,6,3,,25.5,,18,,21.8,,0,,3.8,,14,,0,,14,,0,,,,,
43.7,-79.34,2007-06-04,2007,6,4,,24,,15.5,,19.8,,0,,1.8,,1.6,,0,,1.6,,0,,,,,
43.7,-79.34,2007-06-05,2007,6,5,,19.5,,9,,14.3,,3.7,,0,,2.2,,0,,2.2,,0,,,,,
43.7,-79.34,2007-06-06,2007,6,6,,19,,6,,12.5,,5.5,,0,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-07,2007,6,7,,23,,9.5,,16.3,,1.7,,0,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-08,2007,6,8,,32,,15.5,,23.8,,0,,5.8,,4.8,,0,,4.8,,0,,,,,
43.7,-79.34,2007-06-09,2007,6,9,,24,,12,,18,,0,,0,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-10,2007,6,10,,27,,9.5,,18.3,,0,,0.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-11,2007,6,11,,29.5,,13.5,,21.5,,0,,3.5,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-12,2007,6,12,,33.5,,17,,25.3,,0,,7.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-13,2007,6,13,,32.5,,20,,26.3,,0,,8.3,,0,T,0,,0,T,0,,,,,
43.7,-79.34,2007-06-14,2007,6,14,,25.5,,17,,21.3,,0,,3.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-15,2007,6,15,,28,,13.5,,20.8,,0,,2.8,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-16,2007,6,16,,29.5,,15,,22.3,,0,,4.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-17,2007,6,17,,29,,18.5,,23.8,,0,,5.8,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-18,2007,6,18,,28.5,,15.5,,22,,0,,4,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-19,2007,6,19,,30,,18.5,,24.3,,0,,6.3,,14.8,,0,,14.8,,0,,,,,
43.7,-79.34,2007-06-20,2007,6,20,,23.5,,13.5,,18.5,,0,,0.5,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-21,2007,6,21,,27.5,,15.5,,21.5,,0,,3.5,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-22,2007,6,22,,21,,14,,17.5,,0.5,,0,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-23,2007,6,23,,23.5,,9,,16.3,,1.7,,0,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-24,2007,6,24,,29.5,,13.5,,21.5,,0,,3.5,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-25,2007,6,25,,32.5,,16,,24.3,,0,,6.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-26,2007,6,26,,34.5,,20.5,,27.5,,0,,9.5,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-27,2007,6,27,,35,,23,,29,,0,,11,,0.2,,0,,0.2,,0,,,,,
43.7,-79.34,2007-06-28,2007,6,28,,27.5,,20.5,,24,,0,,6,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-29,2007,6,29,,25,,13,,19,,0,,1,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-06-30,2007,6,30,,24,,14.5,,19.3,,0,,1.3,,0,T,0,,0,T,0,,,,,
43.7,-79.34,2007-07-01,2007,7,1,,20.5,,12,,16.3,,1.7,,0,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-02,2007,7,2,,25,,10.5,,17.8,,0.2,,0,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-03,2007,7,3,,26.5,,11,,18.8,,0,,0.8,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-04,2007,7,4,,19.5,,16,,17.8,,0.2,,0,,4.2,,0,,4.2,,0,,,,,
43.7,-79.34,2007-07-05,2007,7,5,,27,,16,,21.5,,0,,3.5,,2.2,,0,,2.2,,0,,,,,
43.7,-79.34,2007-07-06,2007,7,6,,28.5,,16.5,,22.5,,0,,4.5,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-07,2007,7,7,,30.5,,16,,23.3,,0,,5.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-08,2007,7,8,,28,,19,,23.5,,0,,5.5,,19.2,,0,,19.2,,0,,,,,
43.7,-79.34,2007-07-09,2007,7,9,,34.5,,20.5,,27.5,,0,,9.5,,0,T,0,,0,T,0,,,,,
43.7,-79.34,2007-07-10,2007,7,10,,30.5,,20.5,,25.5,,0,,7.5,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-11,2007,7,11,,25,,22.5,,23.8,,0,,5.8,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-12,2007,7,12,,27.5,,12.5,,20,,0,,2,,2,,0,,2,,0,,,,,
43.7,-79.34,2007-07-13,2007,7,13,,23,,14.5,,18.8,,0,,0.8,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-14,2007,7,14,,20,,12.5,,16.3,,1.7,,0,,3.4,,0,,3.4,,0,,,,,
43.7,-79.34,2007-07-15,2007,7,15,,24.5,,14.5,,19.5,,0,,1.5,,0.2,,0,,0.2,,0,,,,,
43.7,-79.34,2007-07-16,2007,7,16,,25.5,,12,,18.8,,0,,0.8,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-17,2007,7,17,,27,,15.5,,21.3,,0,,3.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-18,2007,7,18,,28.5,,17,,22.8,,0,,4.8,,27.2,,0,,27.2,,0,,,,,
43.7,-79.34,2007-07-19,2007,7,19,,25,,18.5,,21.8,,0,,3.8,,21,,0,,21,,0,,,,,
43.7,-79.34,2007-07-20,2007,7,20,,23.5,,15,,19.3,,0,,1.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-21,2007,7,21,,27,,14,,20.5,,0,,2.5,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-22,2007,7,22,,29,,15,,22,,0,,4,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-23,2007,7,23,,26.5,,15,,20.8,,0,,2.8,,2,,0,,2,,0,,,,,
43.7,-79.34,2007-07-24,2007,7,24,,25.5,,16.5,,21,,0,,3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-25,2007,7,25,,26,,16.5,,21.3,,0,,3.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-26,2007,7,26,,29.5,,17.5,,23.5,,0,,5.5,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-27,2007,7,27,,23.5,,19.5,,21.5,,0,,3.5,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-28,2007,7,28,,29,,18.5,,23.8,,0,,5.8,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-29,2007,7,29,,29,,19,,24,,0,,6,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-30,2007,7,30,,30,,16,,23,,0,,5,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-07-31,2007,7,31,,33.5,,18,,25.8,,0,,7.8,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-01,2007,8,1,,34,,20.5,,27.3,,0,,9.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-02,2007,8,2,,35.5,,22,,28.8,,0,,10.8,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-03,2007,8,3,,34,,24,,29,,0,,11,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-04,2007,8,4,,29,,17.5,,23.3,,0,,5.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-05,2007,8,5,,28,,15.5,,21.8,,0,,3.8,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-06,2007,8,6,,32,,21.5,,26.8,,0,,8.8,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-07,2007,8,7,,25,,18.5,,21.8,,0,,3.8,,1,,0,,1,,0,,,,,
43.7,-79.34,2007-08-08,2007,8,8,,34,,21.5,,27.8,,0,,9.8,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-09,2007,8,9,,22.5,,19.5,,21,,0,,3,,0,T,0,,0,T,0,,,,,
43.7,-79.34,2007-08-10,2007,8,10,,30,,16,,23,,0,,5,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-11,2007,8,11,,31,,17,,24,,0,,6,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-12,2007,8,12,,30.5,,17,,23.8,,0,,5.8,,3,,0,,3,,0,,,,,
43.7,-79.34,2007-08-13,2007,8,13,,28.5,,18,,23.3,,0,,5.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-14,2007,8,14,,27,,13.5,,20.3,,0,,2.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-15,2007,8,15,,28.5,,19.5,,24,,0,,6,,0,T,0,,0,T,0,,,,,
43.7,-79.34,2007-08-16,2007,8,16,,31,,19,,25,,0,,7,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-17,2007,8,17,,28.5,,13,,20.8,,0,,2.8,,0,T,0,,0,T,0,,,,,
43.7,-79.34,2007-08-18,2007,8,18,,23,,10.5,,16.8,,1.2,,0,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-19,2007,8,19,,23.5,,12,,17.8,,0.2,,0,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-20,2007,8,20,,18,,15,,16.5,,1.5,,0,,0.2,,0,,0.2,,0,,,,,
43.7,-79.34,2007-08-21,2007,8,21,,18,,15.5,,16.8,,1.2,,0,,0,T,0,,0,T,0,,,,,
43.7,-79.34,2007-08-22,2007,8,22,,24,,17,,20.5,,0,,2.5,,0.2,,0,,0.2,,0,,,,,
43.7,-79.34,2007-08-23,2007,8,23,,28,,18,,23,,0,,5,,0.2,,0,,0.2,,0,,,,,
43.7,-79.34,2007-08-24,2007,8,24,,33.5,,22.5,,28,,0,,10,,2,,0,,2,,0,,,,,
43.7,-79.34,2007-08-25,2007,8,25,,27,,22.5,,24.8,,0,,6.8,,9.8,,0,,9.8,,0,,,,,
43.7,-79.34,2007-08-26,2007,8,26,,25.5,,16,,20.8,,0,,2.8,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-27,2007,8,27,,27,,15,,21,,0,,3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-28,2007,8,28,,29,,15.5,,22.3,,0,,4.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-29,2007,8,29,,33.5,,19.5,,26.5,,0,,8.5,,3.6,,0,,3.6,,0,,,,,
43.7,-79.34,2007-08-30,2007,8,30,,25,,18.5,,21.8,,0,,3.8,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-08-31,2007,8,31,,26,,12.5,,19.3,,0,,1.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-09-01,2007,9,1,,23,,12.5,,17.8,,0.2,,0,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-09-02,2007,9,2,,26,,10.5,,18.3,,0,,0.3,,0,,0,,0,,0,,,,,
43.7,-79.34,2007-09-03,2007,9,3,,30.5,,16.5,,23.5,,0,,5.5,,0,,0,,0,,0,,,,,
