HoodID,Neighbourhood,Pop2016,Pop2011,PopChg11t16
1,West Humber-Clairville,33312,34100,-2.30%
2,Mount Olive-Silverstone-Jamestown,32954,32788,0.50%
3,Thistletown-Beaumond Heights,10360,10138,2.20%
4,Rexdale-Kipling,10529,10488,0.40%
5,Elms-Old Rexdale,9456,9550,-1.00%
6,Kingsview Village-The Westway,22000,21723,1.30%
7,Willowridge-Martingrove-Richview,22156,21343,3.80%
8,Humber Heights-Westmount,10948,10583,3.40%
9,Edenbridge-Humber Valley,15535,14943,4.00%
10,Princess-Rosethorn,11051,11197,-1.30%
11,Eringate-Centennial-West Deane,18588,18810,-1.20%
12,Markland Wood,10554,10436,1.10%
13,Etobicoke West Mall,11848,10927,8.40%
14,Islington-City Centre West,43965,38084,15.40%
15,Kingsway South,9271,9170,1.10%
16,Stonegate-Queensway,25051,24691,1.50%
17,Mimico (includes Humber Bay Shores),33964,26541,28.00%
18,New Toronto,11463,10900,5.20%
19,Long Branch,10084,9632,4.70%
20,Alderwood,12054,11904,1.30%
21,Humber Summit,12416,12525,-0.90%
22,Humbermede,15545,15853,-1.90%
23,Pelmo Park-Humberlea,10722,8710,23.10%
24,Black Creek,21737,22057,-1.50%
25,Glenfield-Jane Heights,30491,31390,-2.90%
26,Downsview-Roding-CFB,35052,34659,1.10%
27,York University Heights,27593,27713,-0.40%
28,Rustic,9941,9951,-0.10%
29,Maple Leaf,10111,10197,-0.80%
30,Brookhaven-Amesbury,17757,17787,-0.20%
31,Yorkdale-Glen Park,14804,14687,0.80%
32,Englemount-Lawrence,22372,22086,1.30%
33,Clanton Park,16472,14612,12.70%
34,Bathurst Manor,15873,15434,2.80%
35,Westminster-Branson,26274,25446,3.30%
36,Newtonbrook West,23831,23052,3.40%
37,Willowdale West,16936,15004,12.90%
38,Lansing-Westgate,16164,14642,10.40%
39,Bedford Park-Nortown,23236,23185,0.20%
40,St.Andrew-Windfields,17812,17958,-0.80%
41,Bridle Path-Sunnybrook-York Mills,9266,8713,6.30%
42,Banbury-Don Mills,27695,26918,2.90%
43,Victoria Village,17510,17182,1.90%
44,Flemingdon Park,21933,22168,-1.10%
45,Parkwoods-Donalda,34805,34617,0.50%
46,Pleasant View,15818,16144,-2.00%
47,Don Valley Village,27051,26739,1.20%
48,Hillcrest Village,16934,17656,-4.10%
49,Bayview Woods-Steeles,13154,13530,-2.80%
50,Newtonbrook East,16097,16423,-2.00%
51,Willowdale East,50434,45041,12.00%
52,Bayview Village,21396,17671,21.10%
53,Henry Farm,15723,11333,38.70%
54,O'Connor-Parkview,18675,18316,2.00%
55,Thorncliffe Park,21108,19225,9.80%
56,Leaside-Bennington,16828,17011,-1.10%
57,Broadview North,11499,11563,-0.60%
58,Old East York,9233,9118,1.30%
59,Danforth East York,17180,16712,2.80%
60,Woodbine-Lumsden,7865,7826,0.50%
61,Taylor-Massey,15683,15594,0.60%
62,East End-Danforth,21381,20839,2.60%
63,The Beaches,21567,21130,2.10%
64,Woodbine Corridor,12541,11703,7.20%
65,Greenwood-Coxwell,14417,14083,2.40%
66,Danforth,9666,9444,2.40%
67,Playter Estates-Danforth,7804,7653,2.00%
68,North Riverdale,11916,12191,-2.30%
69,Blake-Jones,7727,7763,-0.50%
70,South Riverdale,27876,25642,8.70%
71,Cabbagetown-South St. James Town,11669,12053,-3.20%
72,Regent Park,10803,10007,8.00%
73,Moss Park,20506,16306,25.80%
74,North St. James Town,18615,17832,4.40%
75,Church-Yonge Corridor,31340,28349,10.60%
76,Bay Street Corridor,25797,19348,33.30%
77,Waterfront Communities-The Island,65913,43361,52.00%
78,Kensington-Chinatown,17945,18495,-3.00%
79,University,7607,7782,-2.20%
80,Palmerston-Little Italy,13826,13746,0.60%
81,Trinity-Bellwoods,16556,16802,-1.50%
82,Niagara,31180,21274,46.60%
83,Dufferin Grove,11785,11449,2.90%
84,Little Portugal,15559,12050,29.10%
85,South Parkdale,21849,21251,2.80%
86,Roncesvalles,14974,15050,-0.50%
87,High Park-Swansea,23925,21740,10.10%
88,High Park North,22162,21292,4.10%
89,Runnymede-Bloor West Village,10070,9632,4.50%
90,Junction Area,14366,14027,2.40%
91,Weston-Pellam Park,11098,12010,-7.60%
92,Corso Italia-Davenport,14133,13743,2.80%
93,Dovercourt-Wallace Emerson-Junction,36625,34631,5.80%
94,Wychwood,14349,13986,2.60%
95,Annex,30526,29177,4.60%
96,Casa Loma,10968,10487,4.60%
97,Yonge-St.Clair,12528,11652,7.50%
98,Rosedale-Moore Park,20923,20631,1.40%
99,Mount Pleasant East,16775,15982,5.00%
100,Yonge-Eglinton,11817,10578,11.70%
101,Forest Hill South,10732,10926,-1.80%
102,Forest Hill North,12806,12474,2.70%
103,Lawrence Park South,15179,15070,0.70%
104,Mount Pleasant West,29658,28593,3.70%
105,Lawrence Park North,14607,14541,0.50%
106,Humewood-Cedarvale,14365,14108,1.80%
107,Oakwood Village,21210,21073,0.70%
108,Briar Hill-Belgravia,14257,14302,-0.30%
109,Caledonia-Fairbank,9955,9851,1.10%
110,Keelesdale-Eglinton West,11058,10638,3.90%
111,Rockcliffe-Smythe,22246,22267,-0.10%
112,Beechborough-Greenbrook,6577,6488,1.40%
113,Weston,17992,18170,-1.00%
114,Lambton Baby Point,7985,7921,0.80%
115,Mount Dennis,13593,13145,3.40%
116,Steeles,24623,25017,-1.60%
117,L'Amoreaux,43993,44919,-2.10%
118,Tam O'Shanter-Sullivan,27446,27398,0.20%
119,Wexford/Maryvale,27917,27018,3.30%
120,Clairlea-Birchmount,26984,24770,8.90%
121,Oakridge,13845,13497,2.60%
122,Birchcliffe-Cliffside,22291,21856,2.00%
123,Cliffcrest,15935,15703,1.50%
124,Kennedy Park,17123,17058,0.40%
125,Ionview,13641,13091,4.20%
126,Dorset Park,25003,24363,2.60%
127,Bendale,29960,27876,7.50%
128,Agincourt South-Malvern West,23757,21988,8.00%
129,Agincourt North,29113,30279,-3.90%
130,Milliken,26572,27167,-2.20%
131,Rouge,46496,45912,1.30%
132,Malvern,43794,45086,-2.90%
133,Centennial Scarborough,13362,13093,2.10%
134,Highland Creek,12494,13097,-4.60%
135,Morningside,17455,17587,-0.80%
136,West Hill,27392,26547,3.20%
137,Woburn,53485,53350,0.30%
138,Eglinton East,22776,22829,-0.20%
139,Scarborough Village,16724,16609,0.70%
140,Guildwood,9917,9816,1.00%
