Latitude,Longitude,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
43.78,-79.47,1994-11-01,1994,11,1,,8.6,,5.8,,7.2,,10.8,,0,,4.8,,0,,4.8,,0,,,,,
43.78,-79.47,1994-11-02,1994,11,2,,11.7,,4,,7.9,,10.1,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-11-03,1994,11,3,,14.1,,-1,,6.6,,11.4,,0,,8.4,,0,,8.4,,0,,,,,
43.78,-79.47,1994-11-04,1994,11,4,,17.6,,10.2,,13.9,,4.1,,0,,1,,0,,1,,0,,,,,
43.78,-79.47,1994-11-05,1994,11,5,,15.1,,11.5,,13.3,,4.7,,0,,7.5,,0,,7.5,,0,,,,,
43.78,-79.47,1994-11-06,1994,11,6,,14.6,,8.7,,11.7,,6.3,,0,,1.3,,0,,1.3,,0,,,,,
43.78,-79.47,1994-11-07,1994,11,7,,11.6,,0.5,,6.1,,11.9,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-11-08,1994,11,8,,13.6,,7.3,,10.5,,7.5,,0,,4,,0,,4,,0,,,,,
43.78,-79.47,1994-11-09,1994,11,9,,10,,8.3,,9.2,,8.8,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-11-10,1994,11,10,,7.6,,0.8,,4.2,,13.8,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-11-11,1994,11,11,,6.9,,-3.5,,1.7,,16.3,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-11-12,1994,11,12,,11.1,,-3.9,,3.6,,14.4,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-11-13,1994,11,13,,11.5,,6.7,,9.1,,8.9,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-11-14,1994,11,14,,17.1,,4.6,,10.9,,7.1,,0,,0,T,0,,0,T,0,,,,,
43.78,-79.47,1994-11-15,1994,11,15,,10,,6.2,,8.1,,9.9,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-11-16,1994,11,16,,10.1,,-2.6,,3.8,,14.2,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-11-17,1994,11,17,,11.1,,-3,,4.1,,13.9,,0,,0,T,0,,0,T,0,,,,,
43.78,-79.47,1994-11-18,1994,11,18,,15.4,,6,,10.7,,7.3,,0,,0.4,,0,,0.4,,0,,,,,
43.78,-79.47,1994-11-19,1994,11,19,,10,,5.3,,7.7,,10.3,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-11-20,1994,11,20,,8.4,,-3.1,,2.7,,15.3,,0,,6.4,,0,,6.4,,0,,,,,
43.78,-79.47,1994-11-21,1994,11,21,,14.2,,4.9,,9.6,,8.4,,0,,13,,0,,13,,0,,,,,
43.78,-79.47,1994-11-22,1994,11,22,,3.6,,-0.3,,1.7,,16.3,,0,,0,T,2,,2,,0,,,,,
43.78,-79.47,1994-11-23,1994,11,23,,-0.9,,-3.8,,-2.4,,20.4,,0,,0,,0.6,,0.6,,2,,,,,
43.78,-79.47,1994-11-24,1994,11,24,,5.4,,-7,,-0.8,,18.8,,0,,0,,0,,0,,0,T,,,,
43.78,-79.47,1994-11-25,1994,11,25,,6.7,,1.1,,3.9,,14.1,,0,,0,,0,T,0,T,0,,,,,
43.78,-79.47,1994-11-26,1994,11,26,,-0.2,,-5.6,,-2.9,,20.9,,0,,0,,0,,0,,0,T,,,,
43.78,-79.47,1994-11-27,1994,11,27,,6.4,,-6.7,,-0.2,,18.2,,0,,11.4,,3.2,,14.6,,0,,,,,
43.78,-79.47,1994-11-28,1994,11,28,,9,,-1.7,,3.7,,14.3,,0,,0,T,0,T,0,T,0,T,,,,
43.78,-79.47,1994-11-29,1994,11,29,,2.6,,-0.5,,1.1,,16.9,,0,,0,,0.2,,0.2,,0,,,,,
43.78,-79.47,1994-11-30,1994,11,30,,2.4,,-1.4,,0.5,,17.5,,0,,0,,0.2,,0.2,,0,,,,,
43.78,-79.47,1994-12-01,1994,12,1,,5.6,,-1.6,,2,,16,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-12-02,1994,12,2,,10.5,,2.6,,6.6,,11.4,,0,,0,T,0,,0,T,0,,,,,
43.78,-79.47,1994-12-03,1994,12,3,,9.1,,-1.5,,3.8,,14.2,,0,,4.5,,0,,4.5,,0,,,,,
43.78,-79.47,1994-12-04,1994,12,4,,9.3,,2.9,,6.1,,11.9,,0,,1.2,,0,,1.2,,0,,,,,
43.78,-79.47,1994-12-05,1994,12,5,,9.4,,6.6,,8,,10,,0,,3.8,,0,,3.8,,0,,,,,
43.78,-79.47,1994-12-06,1994,12,6,,6.2,,2.3,,4.3,,13.7,,0,,2.4,,2.8,,5.2,,0,,,,,
43.78,-79.47,1994-12-07,1994,12,7,,-1.4,,-3.2,,-2.3,,20.3,,0,,0,,2.4,,2.4,,2,,,,,
43.78,-79.47,1994-12-08,1994,12,8,,-1.3,,-11,,-6.2,,24.2,,0,,0,,0,,0,,4,,,,,
43.78,-79.47,1994-12-09,1994,12,9,,1,,-9.4,,-4.2,,22.2,,0,,3.6,,0.4,,4,,1,,,,,
43.78,-79.47,1994-12-10,1994,12,10,,0.2,,-4.5,,-2.2,,20.2,,0,,0,,19,,19,,1,,,,,
43.78,-79.47,1994-12-11,1994,12,11,,-1,,-6.5,,-3.8,,21.8,,0,,0,,0,T,0,T,20,,,,,
