,HoodID,Neighbourhood,Pop2016,Pop2011,PopChg11t16,YearlyGrowthRate,Pop2010,Pop2009,Pop2008,Pop2007,Pop2012,Pop2013,Pop2014,Pop2015,Pop2017
1,1,West Humber-Clairville,33312,34100,-0.02,-0.004665023,34259,34418,34579,34740,33940,33782,33624,33468,33156
2,2,Mount Olive-Silverstone-Jamestown,32954,32788,0.01,-0.006813628,33011,33236,33462,33690,32564,32342,32122,31903,31470
3,3,Thistletown-Beaumond Heights,10360,10138,0.02,-0.21200933,12287,14892,18049,21876,7988,6294,4960,3908,2427
4,4,Rexdale-Kipling,10529,10488,0,-0.209455085,12684,15341,18555,22441,8291,6554,5181,4096,2560
5,5,Elms-Old Rexdale,9456,9550,-0.01,-0.226267896,11710,14360,17610,21594,7389,5717,4423,3422,2049
6,6,Kingsview Village-The Westway,22000,21723,0.01,-0.083919454,23545,25521,27663,29985,19900,18230,16700,15298,12838
7,7,Willowridge-Martingrove-Richview,22156,21343,0.04,-0.082623955,23106,25015,27082,29320,19579,17961,16477,15116,12721
8,8,Humber Heights-Westmount,10948,10583,0.03,-0.203260989,12734,15322,18436,22184,8431,6718,5352,4264,2707
9,9,Edenbridge-Humber Valley,15535,14943,0.04,-0.14550136,17117,19607,22460,25728,12768,10910,9323,7966,5817
10,10,Princess-Rosethorn,11051,11197,-0.01,-0.201767438,13456,16171,19434,23355,8937,7134,5694,4545,2896
11,11,Eringate-Centennial-West Deane,18588,18810,-0.01,-0.11428162,20959,23354,26023,28998,16660,14756,13070,11576,9081
12,12,Markland Wood,10554,10436,0.01,-0.209080028,12617,15256,18445,22302,8254,6528,5163,4083,2554
13,13,Etobicoke West Mall,11848,10927,0.08,-0.190572168,13009,15488,18440,21954,8844,7159,5794,4690,3073
14,14,Islington-City Centre West,43965,38084,0.15,0.052132751,36098,34216,32432,30742,40069,42158,44356,46668,51661
15,15,Kingsway South,9271,9170,0.01,-0.229319376,11272,13857,17035,20942,7067,5446,4197,3234,1921
16,16,Stonegate-Queensway,25051,24691,0.02,-0.059813226,26167,27733,29391,31149,23214,21825,20520,19292,17053
17,17,Mimico (includes Humber Bay Shores),33964,26541,0.28,-0.00079893,26562,26583,26604,26625,26519,26498,26477,26456,26414
18,18,New Toronto,11463,10900,0.05,-0.195902369,13035,15588,18642,22295,8764,7047,5666,4556,2946
19,19,Long Branch,10084,9632,0.05,-0.216253361,11714,14248,17329,21077,7549,5916,4637,3634,2232
20,20,Alderwood,12054,11904,0.01,-0.187776854,14139,16794,19947,23693,9668,7853,6378,5180,3417
21,21,Humber Summit,12416,12525,-0.01,-0.182955963,14816,17527,20734,24527,10233,8361,6831,5581,3726
22,22,Humbermede,15545,15853,-0.02,-0.145391379,18157,20797,23821,27285,13548,11578,9894,8456,6176
23,23,Pelmo Park-Humberlea,10722,8710,0.23,-0.206577915,10509,12680,15299,18460,6910,5483,4350,3451,2172
24,24,Black Creek,21737,22057,-0.02,-0.086120269,23956,26019,28260,30694,20157,18421,16835,15385,12849
25,25,Glenfield-Jane Heights,30491,31390,-0.03,-0.022124742,32084,32794,33519,34261,30695,30016,29352,28702,27446
26,26,Downsview-Roding-CFB,35052,34659,0.01,0.005522249,34467,34277,34087,33899,34850,35042,35236,35430,35823
27,27,York University Heights,27593,27713,0,-0.041462941,28862,30058,31305,32603,26563,25462,24406,23394,21494
28,28,Rustic,9941,9951,0,-0.218488921,12125,14774,18002,21935,7776,6077,4749,3711,2267
29,29,Maple Leaf,10111,10197,-0.01,-0.215834112,12397,15073,18327,22282,7996,6270,4916,3855,2370
30,30,Brookhaven-Amesbury,17757,17787,0,-0.122346593,19963,22405,25146,28223,15610,13700,12024,10553,8129
31,31,Yorkdale-Glen Park,14804,14687,0.01,-0.153698833,16944,19548,22553,26019,12429,10519,8902,7534,5396
32,32,Englemount-Lawrence,22372,22086,0.01,-0.08084218,23871,25801,27887,30141,20300,18659,17150,15764,13318
33,33,Clanton Park,16472,14612,0.13,-0.135433525,16590,18837,21389,24286,12633,10922,9442,8164,6102
34,34,Bathurst Manor,15873,15434,0.03,-0.141814984,17622,20121,22975,26233,13245,11366,9754,8371,6165
35,35,Westminster-Branson,26274,25446,0.03,-0.050807357,26738,28097,29524,31025,24153,22925,21761,20655,18609
36,36,Newtonbrook West,23831,23052,0.03,-0.069154556,24646,26350,28172,30121,21457,19973,18592,17306,14995
37,37,Willowdale West,16936,15004,0.13,-0.130616701,16963,19179,21684,24517,13044,11340,9859,8571,6478
38,38,Lansing-Westgate,16164,14642,0.1,-0.138691184,16672,18985,21618,24616,12611,10862,9355,8058,5977
39,39,Bedford Park-Nortown,23236,23185,0,-0.073849858,24897,26735,28710,30830,21472,19887,18418,17058,14631
40,40,St.Andrew-Windfields,17812,17958,-0.01,-0.121803582,20145,22599,25351,28439,15770,13849,12162,10681,8237
41,41,Bridle Path-Sunnybrook-York Mills,9266,8713,0.06,-0.229402522,10711,13169,16190,19904,6714,5173,3987,3072,1824
