"","Geohash","year","month","Count.Date","X8.Peak.Hr.Vehicle.Volume","X8.Peak.Hr.Pedestrian.Volume","sum_acc_count","temp_chg","snow","rain","SeverityScore","IncidentsTotal","AvgAcceleration","PercentOfVehicles","AvgMonthlyVolume","PercentCar","PercentMPV","PercentLDT","PercentMDT","PercentHDT","PercentOther"
"1","dpz80q",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0949,11,0.6423,0.055,19796,0.0361,0.1744,0.2553,0.0811,0.1178,0.3353
"2","dpz80r",2016,"12",2017-10-03,10490,252,7,NA,22,13.9,NA,NA,2.4544,0.0526,19,0,0.0526,0.1579,0.0526,0.1579,0.579
"3","dpz80r",2011,"01",2017-10-03,10490,252,6,14.3,0,9.2,NA,NA,2.4544,0.0526,19,0,0.0526,0.1579,0.0526,0.1579,0.579
"4","dpz80r",2014,"09",2017-10-03,10490,252,2,14.4,0,27,NA,NA,2.4544,0.0526,19,0,0.0526,0.1579,0.0526,0.1579,0.579
"5","dpz80r",2016,"03",2017-10-03,10490,252,3,16,13,24.7,NA,NA,2.4544,0.0526,19,0,0.0526,0.1579,0.0526,0.1579,0.579
"6","dpz80r",2010,"11",2017-10-03,10490,252,1,12.6,0,29.7,NA,NA,2.4544,0.0526,19,0,0.0526,0.1579,0.0526,0.1579,0.579
"7","dpz80r",2015,"08",2017-10-03,10490,252,3,12,0,14.1,NA,NA,2.4544,0.0526,19,0,0.0526,0.1579,0.0526,0.1579,0.579
"8","dpz80r",2009,"05",2017-10-03,10490,252,4,NA,0,15.2,NA,NA,2.4544,0.0526,19,0,0.0526,0.1579,0.0526,0.1579,0.579
"9","dpz80r",2016,"10",2017-10-03,10490,252,1,13.5,0,9.6,NA,NA,2.4544,0.0526,19,0,0.0526,0.1579,0.0526,0.1579,0.579
"10","dpz80w",2017,"09",2018-01-24,27594,20,2,14.8,0,7.7,0.0972,32,1.1636,0.0769,13,0,0.0769,0.1538,0.0769,0.3077,0.3847
"11","dpz80x",2016,"01",2016-04-25,6472,388,2,NA,4,27.1,NA,NA,4.4035,0.0476,21,0,0.0952,0.0476,0,0.2857,0.5715
"12","dpz80x",2009,"06",2016-04-25,6472,388,4,12,0,22.6,NA,NA,4.4035,0.0476,21,0,0.0952,0.0476,0,0.2857,0.5715
"13","dpz80x",2012,"02",2016-04-25,6472,388,3,9.7,0,12,NA,NA,4.4035,0.0476,21,0,0.0952,0.0476,0,0.2857,0.5715
"14","dpz80x",2012,"09",2016-04-25,6472,388,4,13.3,0,42.1,NA,NA,4.4035,0.0476,21,0,0.0952,0.0476,0,0.2857,0.5715
"15","dpz80y",NA,NA,2009-12-07,21367,121,NA,NA,NA,NA,NA,NA,1.4592,0.1111,45,0.1136,0.1818,0.2045,0.0455,0.1136,0.341
"16","dpz80z",2007,"02",2018-01-24,11246,265,8,16,20,5.6,0.0109,4,2.4524,0.0625,16,0.1875,0.125,0.1875,0.0625,0.1875,0.25
"17","dpz80z",2010,"05",2018-01-24,11246,265,3,NA,0,5.6,0.0109,4,2.4524,0.0625,16,0.1875,0.125,0.1875,0.0625,0.1875,0.25
"18","dpz81n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1275,0.0667,195,0.0513,0.241,0.2,0.0513,0.3795,0.0769
"19","dpz81p",2013,"06",2018-01-24,25571,163,4,12.7,0,26.7,0.0407,5,1.7373,0.0811,37,0.027,0.5135,0.1081,0.027,0.027,0.2974
"20","dpz81p",2011,"09",2018-01-24,25571,163,2,13.7,0,28.9,0.0407,5,1.7373,0.0811,37,0.027,0.5135,0.1081,0.027,0.027,0.2974
"21","dpz81p",2009,"04",2018-01-24,25571,163,2,18.9,0,34.9,0.0407,5,1.7373,0.0811,37,0.027,0.5135,0.1081,0.027,0.027,0.2974
"22","dpz81p",2011,"06",2018-01-24,25571,163,2,15.3,0,20.2,0.0407,5,1.7373,0.0811,37,0.027,0.5135,0.1081,0.027,0.027,0.2974
"23","dpz81p",2013,"11",2018-01-24,25571,163,2,12,1,7.4,0.0407,5,1.7373,0.0811,37,0.027,0.5135,0.1081,0.027,0.027,0.2974
"24","dpz81p",2008,"06",2018-01-24,25571,163,4,15.5,0,28.3,0.0407,5,1.7373,0.0811,37,0.027,0.5135,0.1081,0.027,0.027,0.2974
"25","dpz81p",2012,"10",2018-01-24,25571,163,4,11,0,21,0.0407,5,1.7373,0.0811,37,0.027,0.5135,0.1081,0.027,0.027,0.2974
"26","dpz81p",2015,"07",2018-01-24,25571,163,3,13.4,0,10.6,0.0407,5,1.7373,0.0811,37,0.027,0.5135,0.1081,0.027,0.027,0.2974
"27","dpz81p",2013,"12",2018-01-24,25571,163,3,NA,17,17.1,0.0407,5,1.7373,0.0811,37,0.027,0.5135,0.1081,0.027,0.027,0.2974
"28","dpz81p",2015,"10",2018-01-24,25571,163,3,15.6,0,58.3,0.0407,5,1.7373,0.0811,37,0.027,0.5135,0.1081,0.027,0.027,0.2974
"29","dpz81p",2007,"08",2018-01-24,25571,163,10,14,0,10.9,0.0407,5,1.7373,0.0811,37,0.027,0.5135,0.1081,0.027,0.027,0.2974
"30","dpz81p",2016,"11",2018-01-24,25571,163,4,NA,0,21,0.0407,5,1.7373,0.0811,37,0.027,0.5135,0.1081,0.027,0.027,0.2974
"31","dpz81p",2015,"11",2018-01-24,25571,163,3,NA,1,14.7,0.0407,5,1.7373,0.0811,37,0.027,0.5135,0.1081,0.027,0.027,0.2974
"32","dpz81q",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7805,0.0431,116,0.0517,0.2155,0.2155,0.0431,0.3793,0.0949
"33","dpz81r",2013,"01",2012-06-07,8423,2887,2,15.5,14,28.3,NA,NA,1.0627,0.0182,55,0.0182,0.2727,0.0727,0.0364,0.2545,0.3455
"34","dpz81r",2013,"08",2012-06-07,8423,2887,3,11.8,0,38.6,NA,NA,1.0627,0.0182,55,0.0182,0.2727,0.0727,0.0364,0.2545,0.3455
"35","dpz822",2007,"12",2017-05-17,9339,2582,2,12.7,25,23.7,NA,NA,1.8403,0.0625,16,0.0625,0.125,0.1875,0.125,0.125,0.375
"36","dpz822",2010,"05",2017-05-17,9339,2582,2,NA,0,5.6,NA,NA,1.8403,0.0625,16,0.0625,0.125,0.1875,0.125,0.125,0.375
"37","dpz822",2013,"08",2017-05-17,9339,2582,2,11.8,0,38.6,NA,NA,1.8403,0.0625,16,0.0625,0.125,0.1875,0.125,0.125,0.375
"38","dpz822",2017,"10",2017-05-17,9339,2582,3,NA,0,12.5,NA,NA,1.8403,0.0625,16,0.0625,0.125,0.1875,0.125,0.125,0.375
"39","dpz822",2012,"06",2017-05-17,9339,2582,2,16.3,0,45.5,NA,NA,1.8403,0.0625,16,0.0625,0.125,0.1875,0.125,0.125,0.375
"40","dpz823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3743,0.0843,83,0.0241,0.2771,0.1807,0.0361,0.0723,0.4097
"41","dpz826",2017,"04",2016-06-11,14803,5131,2,NA,0,26.9,0.0582,3,2.4336,0.3375,160,0.0063,0.4873,0.1203,0.0316,0.0633,0.2912
"42","dpz826",2011,"09",2016-06-11,14803,5131,2,13.7,0,28.9,0.0582,3,2.4336,0.3375,160,0.0063,0.4873,0.1203,0.0316,0.0633,0.2912
"43","dpz826",2017,"06",2016-06-11,14803,5131,2,NA,0,33.1,0.0582,3,2.4336,0.3375,160,0.0063,0.4873,0.1203,0.0316,0.0633,0.2912
"44","dpz826",2016,"10",2016-06-11,14803,5131,2,13.5,0,9.6,0.0582,3,2.4336,0.3375,160,0.0063,0.4873,0.1203,0.0316,0.0633,0.2912
