"","Geohash","year","month","Count.Date","X8.Peak.Hr.Vehicle.Volume","X8.Peak.Hr.Pedestrian.Volume","sum_acc_count","temp_chg","snow","rain","SeverityScore","IncidentsTotal","AvgAcceleration","PercentOfVehicles","AvgMonthlyVolume","PercentCar","PercentMPV","PercentLDT","PercentMDT","PercentHDT","PercentOther","lat","lng","lat_error","lng_error"
"1","dpz80qv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6423,0.055,19796,0.0361,0.1744,0.2553,0.0811,0.1178,0.3353,43.6315155029297,-79.4345855712891,0.0006866455078125,0.0006866455078125
"2","dpz80qy",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0949,11,0.3609,0.0436,13319,0.0334,0.1671,0.2425,0.0822,0.1203,0.3545,43.6315155029297,-79.4332122802734,0.0006866455078125,0.0006866455078125
"3","dpz80qz",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0309,7,0.6313,0.0165,7211,0.0352,0.1831,0.2756,0.0831,0.1201,0.3029,43.6315155029297,-79.4318389892578,0.0006866455078125,0.0006866455078125
"4","dpz80rh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3514,0.0397,18395,0.0373,0.1833,0.2615,0.0791,0.106,0.3328,43.6328887939453,-79.4359588623047,0.0006866455078125,0.0006866455078125
"5","dpz80rj",2009,"05",2017-10-03,10490,252,4,NA,0,15.2,NA,NA,0.5956,0.011,42932,0.0334,0.1745,0.2453,0.0768,0.1582,0.3118,43.6328887939453,-79.4345855712891,0.0006866455078125,0.0006866455078125
"6","dpz80rj",2016,"10",2017-10-03,10490,252,1,13.5,0,9.6,NA,NA,0.5956,0.011,42932,0.0334,0.1745,0.2453,0.0768,0.1582,0.3118,43.6328887939453,-79.4345855712891,0.0006866455078125,0.0006866455078125
"7","dpz80rj",2015,"08",2017-10-03,10490,252,3,12,0,14.1,NA,NA,0.5956,0.011,42932,0.0334,0.1745,0.2453,0.0768,0.1582,0.3118,43.6328887939453,-79.4345855712891,0.0006866455078125,0.0006866455078125
"8","dpz80rj",2016,"12",2017-10-03,10490,252,7,NA,22,13.9,NA,NA,0.5956,0.011,42932,0.0334,0.1745,0.2453,0.0768,0.1582,0.3118,43.6328887939453,-79.4345855712891,0.0006866455078125,0.0006866455078125
"9","dpz80rk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4061,0.0368,6541,0.0403,0.1684,0.2268,0.0568,0.1334,0.3743,43.6342620849609,-79.4359588623047,0.0006866455078125,0.0006866455078125
"10","dpz80rm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0953,0.0278,36,0,0.1714,0.4286,0.0286,0.0857,0.2857,43.6342620849609,-79.4345855712891,0.0006866455078125,0.0006866455078125
"11","dpz80rn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.574,0.002,1971,0.0321,0.1679,0.2219,0.0801,0.1847,0.3133,43.6328887939453,-79.4332122802734,0.0006866455078125,0.0006866455078125
"12","dpz80rp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4055,0.0082,364,0.033,0.1264,0.2885,0.1099,0.1456,0.2966,43.6328887939453,-79.4318389892578,0.0006866455078125,0.0006866455078125
"13","dpz80rq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4024,0.3532,1073,0.015,0.1957,0.2996,0.0431,0.0693,0.3773,43.6342620849609,-79.4332122802734,0.0006866455078125,0.0006866455078125
"14","dpz80rr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4544,0.0526,19,0,0.0526,0.1579,0.0526,0.1579,0.579,43.6342620849609,-79.4318389892578,0.0006866455078125,0.0006866455078125
