"","Geohash","AvgAcceleration","PercentOfVehicles","AvgMonthlyVolume","PercentCar","PercentMPV","PercentLDT","PercentMDT","PercentHDT","PercentOther","Count.Date","SeverityScore","IncidentsTotal","sum_acc_count","X8.Peak.Hr.Vehicle.Volume","X8.Peak.Hr.Pedestrian.Volume"
"1","dpz80qv",0.6423,0.055,19796,0.0361,0.1744,0.2553,0.0811,0.1178,0.3353,NA,NA,NA,4,NA,NA
"2","dpz80qy",0.3609,0.0436,13319,0.0334,0.1671,0.2425,0.0822,0.1203,0.3545,NA,0.0949,11,NA,NA,NA
"3","dpz80qz",0.6313,0.0165,7211,0.0352,0.1831,0.2756,0.0831,0.1201,0.3029,NA,0.0309,7,NA,NA,NA
"4","dpz80rh",0.3514,0.0397,18395,0.0373,0.1833,0.2615,0.0791,0.106,0.3328,NA,NA,NA,NA,NA,NA
"5","dpz80rj",0.5956,0.011,42932,0.0334,0.1745,0.2453,0.0768,0.1582,0.3118,2017-10-03,NA,NA,15,10490,252
"6","dpz80rk",0.4061,0.0368,6541,0.0403,0.1684,0.2268,0.0568,0.1334,0.3743,NA,NA,NA,1,NA,NA
"7","dpz80rm",2.0953,0.0278,36,0,0.1714,0.4286,0.0286,0.0857,0.2857,NA,NA,NA,NA,NA,NA
"8","dpz80rn",1.574,0.002,1971,0.0321,0.1679,0.2219,0.0801,0.1847,0.3133,NA,NA,NA,6,NA,NA
"9","dpz80rp",1.4055,0.0082,364,0.033,0.1264,0.2885,0.1099,0.1456,0.2966,NA,NA,NA,NA,NA,NA
"10","dpz80rq",1.4024,0.3532,1073,0.015,0.1957,0.2996,0.0431,0.0693,0.3773,NA,NA,NA,NA,NA,NA
"11","dpz80rr",2.4544,0.0526,19,0,0.0526,0.1579,0.0526,0.1579,0.579,NA,NA,NA,NA,NA,NA
"12","dpz80rs",0.3028,0.0152,5715,0.0291,0.1842,0.2166,0.0561,0.0776,0.4364,NA,NA,NA,NA,NA,NA
"13","dpz80rt",1.7218,0.2505,495,0.0182,0.1862,0.3401,0.0324,0.0931,0.33,NA,NA,NA,NA,NA,NA
"14","dpz80ru",0.4839,0.0175,57,0.0175,0.1053,0.2456,0.0351,0.1228,0.4737,NA,NA,NA,NA,NA,NA
"15","dpz80rv",1.7619,0.2009,423,0.0166,0.1825,0.3294,0.0332,0.1043,0.334,NA,NA,NA,5,NA,NA
"16","dpz80rw",1.2766,0.0313,128,0.0078,0.2266,0.3594,0.0078,0.0781,0.3203,NA,NA,NA,NA,NA,NA
"17","dpz80rx",2.018,0.2143,14,0,0.0769,0.1538,0,0,0.7693,NA,NA,NA,NA,NA,NA
"18","dpz80ry",1.09,0.1857,1201,0.0301,0.1814,0.2358,0.056,0.0477,0.449,NA,NA,NA,NA,NA,NA
"19","dpz80rz",1.0657,0.1258,302,0.0168,0.165,0.2593,0.0269,0.0606,0.4714,NA,NA,NA,NA,NA,NA
"20","dpz80wb",0.9161,0.0068,586,0.031,0.2276,0.2759,0.0655,0.1069,0.2931,NA,0.031,13,NA,NA,NA
"21","dpz80wc",1.1636,0.0769,13,0,0.0769,0.1538,0.0769,0.3077,0.3847,2018-01-24,NA,NA,2,27594,20
"22","dpz80wf",1.0626,0.0711,4315,0.0298,0.1993,0.1958,0.0626,0.1515,0.361,2011-05-03,0.0972,32,NA,5836,25
"23","dpz80wg",1.1552,0.0855,2526,0.0195,0.2036,0.1594,0.0625,0.1526,0.4024,NA,NA,NA,NA,NA,NA
"24","dpz80wu",0.4124,0.2091,220,0.0829,0.235,0.0599,0.1152,0.0737,0.4333,NA,NA,NA,NA,NA,NA
"25","dpz80wv",0.2434,0.0968,31,0,0.2903,0,0.0323,0.0645,0.6129,NA,NA,NA,NA,NA,NA
"26","dpz80wy",0.8008,0.0345,29,0,0.2069,0.0345,0.0345,0.069,0.6551,NA,NA,NA,NA,NA,NA
"27","dpz80x0",0.6243,0.05,20,0.05,0.1,0.15,0,0.25,0.45,NA,NA,NA,NA,NA,NA
"28","dpz80x1",0.9083,0.0275,36248,0.0347,0.157,0.2391,0.085,0.1704,0.3138,NA,NA,NA,3,NA,NA
"29","dpz80x2",1.7097,0.2318,302,0.0432,0.2126,0.3056,0.0399,0.0465,0.3522,NA,NA,NA,NA,NA,NA
"30","dpz80x3",1.4211,0.125,16,0,0.1875,0.1875,0,0.125,0.5,NA,NA,NA,NA,NA,NA
"31","dpz80x4",1.3525,0.0061,34944,0.0319,0.1657,0.2184,0.0839,0.1691,0.331,NA,NA,NA,NA,NA,NA
"32","dpz80x5",0.5154,0.1429,21,0,0.3333,0.0952,0.0476,0.381,0.1429,NA,NA,NA,NA,NA,NA
"33","dpz80x6",1.3671,0.1429,42,0.0714,0.1667,0.0952,0.0476,0.0714,0.5477,NA,NA,NA,NA,NA,NA
"34","dpz80x7",0.9477,0.0732,41,0,0.122,0.3171,0,0.2439,0.317,NA,NA,NA,NA,NA,NA
"35","dpz80x8",4.4035,0.0476,21,0,0.0952,0.0476,0,0.2857,0.5715,NA,NA,NA,NA,NA,NA
"36","dpz80x9",1.0382,0.25,16,0,0.1875,0.375,0,0,0.4375,NA,NA,NA,NA,NA,NA
"37","dpz80xb",1.892,0.3263,475,0.0042,0.1564,0.2241,0.0169,0.0423,0.5561,NA,NA,NA,NA,NA,NA
"38","dpz80xc",0.6325,0.1334,697,0.0101,0.2141,0.2083,0.0216,0.0417,0.5042,NA,NA,NA,2,NA,NA
"39","dpz80xd",1.0407,0.2021,574,0.021,0.2238,0.2465,0.0227,0.0629,0.4231,NA,NA,NA,NA,NA,NA
"40","dpz80xe",0.6601,0.1116,7501,0.0282,0.2,0.1856,0.0571,0.1196,0.4095,NA,NA,NA,NA,NA,NA
"41","dpz80xf",0.4672,0.1688,154,0.0131,0.1307,0.2418,0.0261,0.0392,0.5491,NA,NA,NA,NA,NA,NA
"42","dpz80xg",0.5522,0.1017,118,0.0085,0.2393,0.2137,0.1197,0.0769,0.3419,2016-04-25,NA,NA,NA,6472,388
"43","dpz80xh",0.5262,0.1111,54,0,0.2407,0.2222,0.0741,0.0741,0.3889,2015-11-12,NA,NA,NA,6794,142
"44","dpz80xj",0.7364,0.0233,43,0.0488,0.2683,0.122,0.0488,0.0732,0.4389,NA,NA,NA,NA,NA,NA
"45","dpz80xk",1.2009,0.0961,5068,0.0264,0.1963,0.1822,0.0572,0.1414,0.3965,NA,NA,NA,4,NA,NA
"46","dpz80xm",0.7892,0.0028,31806,0.0308,0.1638,0.2123,0.0859,0.1742,0.333,NA,NA,NA,NA,NA,NA
"47","dpz80xn",0.7289,0.3158,19,0,0.3333,0.3889,0.0556,0.1667,0.0555,NA,NA,NA,NA,NA,NA
"48","dpz80xp",0.4967,0.0161,372,0.0436,0.2207,0.0899,0.0599,0.1063,0.4796,NA,NA,NA,NA,NA,NA
"49","dpz80xq",0.7477,0.0058,38171,0.0351,0.1607,0.2416,0.0803,0.1657,0.3166,NA,NA,NA,NA,NA,NA
"50","dpz80xr",1.8403,0.0233,43,0.0465,0.3488,0.1163,0.093,0.0465,0.3489,NA,NA,NA,4,NA,NA
"51","dpz80xs",1.4176,0.2,15,0.0667,0,0.2667,0,0.4,0.2666,NA,NA,NA,NA,NA,NA
"52","dpz80xt",0.6167,0.2712,59,0,0.0678,0.2373,0.1356,0.0508,0.5085,NA,NA,NA,NA,NA,NA
